,OS,サイズ,重量,画素,外部メモリ,メモリー,ストレージ,プロセッサー,ディスプレイサイズ,バッテリー,ディスプレイの特徴,発売日,ボディカラー,防水・防塵,メーカー,通信,アプリ,カメラ機能,価格,デザイン,ＳＩＭ,操作性,サウンド,GPS
au、防水・防塵・耐衝撃対応の5型オリジナルスマホ「Qua phone QZ」,OSは「Android 8.0」をプリインストールする,本体サイズは72（幅）×145（高さ）×8.7（奥行）mm、重量は約136g（いずれも暫定値）,本体サイズは72（幅）×145（高さ）×8.7（奥行）mm、重量は約136g（いずれも暫定値）,カメラ機能は、メインが約1300万画素、サブが約500万画素,内蔵ストレージが32GB、外部記録媒体がmicroSDXCメモリーカード（最大256GB）をサポート,主な仕様は、プロセッサーが「ＭＳＭ8937」、メモリーが3ＧＢ,内蔵ストレージが32GB、外部記録媒体がmicroSDXCメモリーカード（最大256GB）をサポート,主な仕様は、プロセッサーが「ＭＳＭ8937」、メモリーが3ＧＢ,ディスプレイに、約5型フルHD液晶（1920×1080ドット）を採用したモデル,バッテリー容量は2600mAh,,2月下旬より発売する,ボディカラーは、チョコミント、カシスピンク、シトラスレモン、インディゴ,IPX5/IPX8相当の防水性能とIP5X相当の防塵性能、米国国防総省が制定したMIL-STD-810G Method 516.7: Shock-Procedure IVに準拠した耐衝撃性能も備えた,au（KDDI）は、2018年春モデルのスマートフォンとして、auブランドモデルの「Qua phone QZ」（京セラ製）を発表,,,コントラスト方式に比べ、高速で追従性にすぐれた「像面位相差オートフォーカス」を搭載し、明暗差が大きい場所では、露出を変えた写真を合成するＨＤＲ撮影に自動で切り替わることで、素早い動きや暗所でもきれいに撮影できるという,,さらに、ガラス割れに強いハイブリッドシールド構造を採用|割れにくく傷つきにくいガラスDragontrail Xにアクリルスクリーンを重ねることで、ガラス割れの起点となる傷からディスプレイを保護し、耐久性とデザイン性を両立している,,このほか、画面や手が濡れていても操作できる「ウェットタッチ」に対応|手袋をつけたままでも操作できる「グローブタッチ」によって、寒い日に手袋を着けているときなども、外さずにそのままスマートフォンを使用できる,,
ドコモ、2画面スマホ「M Z-01K」を2月下旬に発売,OSは「Android 7.1」をプリインストールする,本体サイズは72（幅）×151（高さ）×12.1（奥行）mm,重量は約230g,カメラ画素数は、メインが約2030万画素,外部メモリーはmicroSDXCカード（最大256GB）に対応,主な仕様は、ディスプレイが5.2型フルHD液晶（1080×1920ドット）×2、プロセッサーが「MSM8996」（2.2GHz/デュアルコア＋1.6GHz/デュアルコア）、メモリー（RAM）が4GB、ストレージ（ROM）が64GB,主な仕様は、ディスプレイが5.2型フルHD液晶（1080×1920ドット）×2、プロセッサーが「MSM8996」（2.2GHz/デュアルコア＋1.6GHz/デュアルコア）、メモリー（RAM）が4GB、ストレージ（ROM）が64GB,主な仕様は、ディスプレイが5.2型フルHD液晶（1080×1920ドット）×2、プロセッサーが「MSM8996」（2.2GHz/デュアルコア＋1.6GHz/デュアルコア）、メモリー（RAM）が4GB、ストレージ（ROM）が64GB,5.2型フルHD液晶（1080×1920ドット）×2画面を搭載したのが特徴|主な仕様は、ディスプレイが5.2型フルHD液晶（1080×1920ドット）×2、プロセッサーが「MSM8996」（2.2GHz/デュアルコア＋1.6GHz/デュアルコア）、メモリー（RAM）が4GB、ストレージ（ROM）が64GB,バッテリー容量は2930mAhで、連続待受時間などが未定,折りたたみ画面を見開くことで、6.8型の大画面になり、画像や動画がよりワイドに楽しめる|機能面では、1つのアプリを同時に使用することが可能で、1つの画面で動画を見ながら、もう片方の画面で友達とチャットを楽しむなど、新しいスタイルを提供する|また、2つの画面で別々のＷｅｂサイトを並べて表示することで、情報を比較しながら見ることが可能|2本指のスワイプで、画面間のアプリ移動も簡単に行える|さらに、画面下部のナビゲーションバーのモード切替メニューをタップすることで、通常モード、ミラーモード、2画面モード、大画面モードの4つから簡単に切り替えることが可能,1月12日の午前10時より予約受付を開始し、2月下旬より発売する,ボディカラーはブラック,,NTTドコモは、スマートフォンの2017-2018年冬春モデル「M Z-01K」（ZTE製）の発売時期を決定,無線通信は、IEEE802.11a/b/g/n/ac準拠の無線LANとBluetooth 4.2をサポート|モバイルネットワークの最大通信速度は、受信が500Ｍｂｐｓ、送信が50Ｍｂｐｓ,,,,このほか、接続端子はUSB Type-Cを採用,,,音質面では、デュアルスピーカーやドルビーアトモスを採用し、立体的な3Ｄサウンドを楽しむことが可能|ハイレゾ音源の再生にも対応する,目的や用途に応じて手軽に変更することができる
カードサイズの携帯電話「NichePhone-S」、ラスタバナナネットショップで発売,,本体サイズは50（幅）×90（高さ）×6.5（奥行）mm,「NichePhone-S」は、厚さ6.5mmで重量38gという、手のひらにすっぽり収まるサイズのSIMフリー端末|重量は38ｇ,,,,,,主な仕様は、ディスプレイが0.96型モノクロ有機EL（128×64ドット）、OSは「android 4.2」をプリインストールする,バッテリー容量は550ｍＡｈで、連続通話が約3時間、連続待受が約72時間,,,ボディカラーは、ブラック、ホワイトの2色を用意する,,テレホンリースは、カードサイズのSIMフリー携帯電話「NichePhone-S」（フューチャーモデル製）について、ラスタバナナが運営するネットショップ「ラスタバナナの飾り屋」「ラスタバナナダイレクト」で取り扱いを開始した,3Ｇテザリングによるデータ通信やＢｌｕｅｔｏｏｔｈによるワイヤレス接続などに対応する,,,直販価格は10，778円,,,,,
ソフトバンク、EDGEST fit採用の4型「AQUOS R compact」を12/22発売,OSは「Android 8.0」をプリインストールした,本体サイズは66（幅）×132（高さ）×9.6（奥行）mm、重量は約140g,本体サイズは66（幅）×132（高さ）×9.6（奥行）mm、重量は約140g,カメラ機能は、メインカメラに、広角レンズを備えた有効約1640万画素カメラを搭載|サブカメラは有効約800万画素カメラで、被写体の目線がカメラに向いた自撮り写真を撮影できる「アイキャッチセルフィー」に対応する,最大256ＧＢのｍｉｃｒｏＳＤＸＣメモリーカードにも対応する,このほか主な仕様は、プロセッサーがオクタコア「ＳＤＭ660」、メモリーが3ＧＢ、内蔵ストレージが32ＧＢ,このほか主な仕様は、プロセッサーがオクタコア「ＳＤＭ660」、メモリーが3ＧＢ、内蔵ストレージが32ＧＢ,このほか主な仕様は、プロセッサーがオクタコア「ＳＤＭ660」、メモリーが3ＧＢ、内蔵ストレージが32ＧＢ,ディスプレイに、約4.9型でフルHD+（2032×1080ドット）解像度のIGZO液晶を装備したモデル,バッテリー容量は2500ｍＡｈ,,12月22日より発売する,ボディカラーは、ムーンホワイト、トルマリンブラック、ダイヤモンドイエロー、アメジストパープルを用意する,ＩＰＸ5／ＩＰＸ8相当の防水性能、ＩＰ6Ｘ相当の防じん性能も装備,ソフトバンクは、「ソフトバンク」ブランドより、12月下旬以降発売としていたスマートフォン「AQUOS R compact」（シャープ製）の発売日を決定,Bluetooth 5.0、IEEE802.11a/b/g/n/ac準拠の無線LAN規格もサポートする,,,,丸みを帯びたコーナーまで、ディスプレイが筐体にフィットする新デザイン「EDGEST fit」も採用した,,,,
au、丸みを帯びた画面の4.9型スマホ「AQUOS R compact SHV41」を12/22発売,OSは「Android 8.0」をプリインストール,本体サイズは66（幅）×132（高さ）×9.6～9.7（奥行）mm,重量は約140ｇ,カメラ画素数は、メインカメラが約1640万画素、サブカメラが約800万画素,外部メモリーはmicroSDXC（最大256GB）に対応する,主な仕様は、ディスプレイが4.9型フルHD+液晶（1080×2032ドット）、プロセッサーが「SDM660」（2.2GHz/クアッドコア＋1.8GHz/クアッドコア）、メモリー（RAM）が3GB、ストレージ（ROM）が32GB,主な仕様は、ディスプレイが4.9型フルHD+液晶（1080×2032ドット）、プロセッサーが「SDM660」（2.2GHz/クアッドコア＋1.8GHz/クアッドコア）、メモリー（RAM）が3GB、ストレージ（ROM）が32GB,主な仕様は、ディスプレイが4.9型フルHD+液晶（1080×2032ドット）、プロセッサーが「SDM660」（2.2GHz/クアッドコア＋1.8GHz/クアッドコア）、メモリー（RAM）が3GB、ストレージ（ROM）が32GB,主な仕様は、ディスプレイが4.9型フルHD+液晶（1080×2032ドット）、プロセッサーが「SDM660」（2.2GHz/クアッドコア＋1.8GHz/クアッドコア）、メモリー（RAM）が3GB、ストレージ（ROM）が32GB,バッテリー容量は2500mAhで、連続通話が約1530分、連続待受が約630時間（4G LTE/WiMAX 2+）,また、動きの激しい動画や画面スクロール時の文字の残像を抑えてなめらかに表示する「ハイスピードＩＧＺＯ液晶ディスプレイ」を搭載,12月22日より発売する,ボディカラーは、メタルブラック、ムーンホワイト、ローズピンクの3色を用意する,機能面では、ＩＰＸ5／ＩＰＸ8の防水、ＩＰ6Ｘの防塵、ハイレゾ再生、ワンセグ、おサイフケータイ、ＮＦＣに対応,au（KDDI）は、12月下旬以降の発売を予定していた、スマートフォンの2017年冬モデル「AQUOS R compact SHV41」（シャープ製）の発売日を決定,無線通信は、IEEE802.11a/b/g/n/ac準拠の無線LANとBluetooth 5.0に対応する|モバイル通信は、4G LTE/WiMAX 2+に対応|キャリアアグリゲーションをサポートしており、最大通信速度は、受信が429Ｍｂｐｓ、送信が50Ｍｂｐｓ,,実物に近い映像を実現する「リッチカラーテクノロジーモバイル」に対応し、目で見たままの鮮やかな色を再現する|さらに、ディスプレイ内にサブカメラを設置しており、自然な視線の写真が簡単に撮影することが可能|カメラ目線になるように画面表示で誘導する「アイキャッチセルフィー」に対応し、被写体全員の目線があった集合写真が簡単に撮影することができる|メインカメラとサブカメラともに広角レンズを採用したことで、被写体の背景まで含めた広角による撮影が可能だ|メインカメラは、高速なピント合わせに対応したハイブリットＡＦを搭載し、ポケットから取り出して、一瞬を逃すことなく撮影することが可能だ,,4．9型の大画面ながらも、挟額縁設計を両立させることで、片手でも持ちやすいコンパクトサイズを実現したモデル|自由な形状で設計が可能なシャープ独自の「フリーフォームディスプレイ」により、丸みを帯びたコーナーまでもディスプレイが筐体にフィットする新デザイン「EDGEST fit」を採用したのが特徴だ,このほか、ＳＩＭカードはｎａｎｏＳＩＭを採用,,,
au、2880×1440表示の6型有機ELスマホ「isai V30+ LGV35」を12/22発売,バッテリー容量は3300mAh、OSは「Android 8.0」をプリインストールする,本体サイズは75（幅）×152（高さ）×7.4（奥行）mm、重量は158g,本体サイズは75（幅）×152（高さ）×7.4（奥行）mm、重量は158g,カメラ機能では、メインカメラに、Ｆ値1．6ガラスレンズと広角レンズのデュアルカメラを採用|カメラはメインが1650万画素＋約1310万画素、サブが約510万画素,外部記録媒体はmicroSDメモリーカード（最大256GB）に対応,主な仕様は、ディスプレイが約6型有機ＥＬ、メモリーが4ＧＢ、内蔵ストレージが128ＧＢ,主な仕様は、ディスプレイが約6型有機ＥＬ、メモリーが4ＧＢ、内蔵ストレージが128ＧＢ,,解像度2880×1440ドットで、約6型の有機ＥＬディスプレイを搭載したスマートフォン|主な仕様は、ディスプレイが約6型有機ＥＬ、メモリーが4ＧＢ、内蔵ストレージが128ＧＢ,連続通話時間が約1200分、連続待受時間が約420時間（LTE/WiMAX 2+）、電池持ち時間が約95時間|バッテリー容量は3300mAh、OSは「Android 8.0」をプリインストールする,表示色域を拡大し、画面占有率84％の超狭額縁フルスクリーンを搭載することで、圧倒的な映像美を実現,12月22日より発売する,ボディカラーは、オーロラブラック、クラウドシルバー、モロッカンブルーを用意する,このほか、おサイフケータイ、ワンセグ／フルセグ、ＮＦＣに対応するほか、防水・防塵性能も備える,au（KDDI）は、12月下旬以降の発売を予定していた、スマートフォンの2017年冬モデル「isai V30+ LGV35」（LGエレクトロニクス製）の発売日を決定,,また、ＧｏｏｇｌｅのＶＲプラットフォーム「Ｄａｙｄｒｅａｍ」に対応し、映画やゲーム、スポーツなどのコンテンツを楽しめる,また、ビデオの品質を維持しながら、15種類のトーンとカラーの設定が可能な「Cine Effect」をプリセットし、多彩な演出を施した動画を簡単に撮影できる|さらに、狙った点にズームできる「ポイントズーム」によって、ＳＮＳ映えする動画も撮影可能だ|Ｆ値1．6のガラスレンズを採用したことで、光の透過率が向上し、キレのある明るい写真を撮影できる,,,,,このほか、高級オーディオブランド「B&O PLAY」とコラボレーションし、Quad DACの搭載により、ノイズや歪みを低減|ＭＰ3などの圧縮音源でも、高音質で楽しめる|さらに、「ＭＱＡ」に対応し、高音質を維持しながら、ファイル容量の縮小が可能|ダウンロード時間の短縮とストレージの効率化を実現した,
エキサイト、ASUS「ZenFone 4 Selfie」「ZenFone 4 Max」を発売,,,,カメラ機能では、前面にデュアルカメラを採用し、メインカメラが2000万画素、広角カメラが800万画素で画角120度|背面カメラは1600万画素となる,,,,,ディスプレイに、5.5型HD液晶（1280×720ドット）を搭載したモデル|ディスプレイに、5.2型HD液晶（1280×720ドット）を搭載したモデル,容量4100mAhバッテリーを内蔵し、連続通話時間が約1920分（3G）、連続待受時間が約744時間（3G）,,12月15日に発売を開始した,ボディカラーは、サンライトゴールド、ネイビーブラック、ローズピンクを用意する|ボディカラーは、サンライトゴールド、ネイビーブラック、ローズピンクを用意する,,エキサイトは、「エキサイトモバイル」より、ASUS JAPANのスマートフォン「ZenFone 4 Selfie」「ZenFone 4 Max」の取り扱いを開始,,,,価格は税別|価格は一括払いの場合が26000円|価格は一括払いの場合が24800円|分割の場合が1083円×24回（初回は1091円）|分割の場合が1033円×24回（初回は1041円）,,2枚のＳＩＭカードとｍｉｃｒｏＳＤカードを同時に使用できるトリプルスロットも備えた,,,
ドコモ、1万台限定ジョジョ30周年スマホを12/20より予約開始,バッテリー容量は3060mAh、OSは「Android 8.0」をプリインストールする,本体サイズは75（幅）×152（高さ）×7.4（奥行）mm、重量は158g,本体サイズは75（幅）×152（高さ）×7.4（奥行）mm、重量は158g,カメラ機能では、約1650万画素＋約1310万画素のデュアルカメラを装備,外部記録媒体はmicroSDメモリーカード（最大256GB）に対応,主な仕様は、ディスプレイが約6型クアッド HD（2880×1440ドット）、プロセッサーが「MSM8998」、メモリーが4GB、ストレージに128GBを搭載,性能面では、同時に発表された「V30+L-01K」がベースの端末となっている|主な仕様は、ディスプレイが約6型クアッド HD（2880×1440ドット）、プロセッサーが「MSM8998」、メモリーが4GB、ストレージに128GBを搭載,主な仕様は、ディスプレイが約6型クアッド HD（2880×1440ドット）、プロセッサーが「MSM8998」、メモリーが4GB、ストレージに128GBを搭載,「V30+L-01K」は、6型大画面でフルビジョン（18:9）有機ELディスプレイ搭載のスマートフォン|主な仕様は、ディスプレイが約6型クアッド HD（2880×1440ドット）、プロセッサーが「MSM8998」、メモリーが4GB、ストレージに128GBを搭載,バッテリー容量は3060mAh、OSは「Android 8.0」をプリインストールする,縦長の18：9比率であるため、大画面でも幅を抑えて持ちやすく、2画面操作も快適だ,なお、発売は2018年3月の予定で、販売台数が限定1万台,,このほか、おサイフケータイ、ワンセグ・フルセグ、ＮＦＣに対応するほか、ＩＰＸ5／ＩＰＸ8相当の防水性能とＩＰ6Ｘ相当の防塵性能を備える,ドコモは、スマートフォンの2017-2018年冬春モデル「JOJO L-02K」（LG Electronics製）の予約受付を、12月20日12時より開始すると発表した,,さらに、作品に登場する「スタンド」と呼ばれる特殊能力を再現した表現や効果を、端末の画面を通して適用することができるカメラアプリ「スタンドカメラ」、端末の歩数計と連動し、実際に歩いた歩数に応じて、作中の「STEEL BALL RUNレース」のコースを体験できるアプリ「SBRトラッカー」を搭載する|搭載予定の主なコンテンツは、画面をめくるごとに異なる壁紙が表示され、ピンチアウト操作でアイコンが消えてイラストだけを鑑賞できるなど、画集のようなホームアプリ「ＪＯＪＯホーム」や、通知音や操作音の代わりに画面上にジョジョならではの“擬音”を表示し、通知の重要度などに応じて擬音も変化する「擬音モード」を搭載する|また、原作の名シーンの数々を画像としてプリインストールするほか、作中の名言や固有名詞に対応した専用の予測変換辞書の「名シーン＆名言変換辞書」や、原作の名シーンの台詞を編集したり、画像とセリフを組み合わせてオリジナルのコマを制作して、ＳＮＳなどに投稿することができる「ＪＯＪＯエディター」を備える,ワイドな景色も隅々までゆがまずキレイに再現し、ダイナミックな広角写真が撮れる|また、ドコモのスマートフォン史上最小となる、Ｆ値1．6のガラス製の「クリスタルクリアレンズ」を搭載|どのような場所でも明るくクリアに撮れる,予約受付は、ドコモ販売店の店頭およびドコモホームページで行い、ドコモオンラインショップでの販売価格は125，712円,人気マンガ「ジョジョの奇妙な冒険」の30周年を記念したコラボレーションモデル|原作者の荒木飛呂彦氏描き下ろしによる特別仕様のデザインや、ボディカラーのJOJO Whiteを採用するほか、ジョジョ30年の歴史を網羅した豊富なコンテンツを搭載する予定だ,,,,
goo、4.5型「FLEAZ Que +N」をらくらくセット一括払い3001円で発売,OSは「Android 7.0」をプリインストールする,本体サイズは66.5（幅）×132.4（高さ）×10.35（奥行）mm（突起部は除く）、重量が約125g,本体サイズは66.5（幅）×132.4（高さ）×10.35（奥行）mm（突起部は除く）、重量が約125g,カメラ画素数は、メイン／サブともに500万画素,外部記録媒体がmicroSDXCメモリーカード（最大128G）に対応,このほか主な仕様は、プロセッサーが「Cortex-A53」、メモリーが2GB、ストレージが16GB,このほか主な仕様は、プロセッサーが「Cortex-A53」、メモリーが2GB、ストレージが16GB,このほか主な仕様は、プロセッサーが「Cortex-A53」、メモリーが2GB、ストレージが16GB,画面に、4．5型液晶ディスプレイを採用したモデル,,,,,機能面では、近距離無線通信「NFC」（Androidビーム）リーダーを内蔵,NTTレゾナントは、「gooSimseller」より、4.5型SIMフリースマートフォン「FLEAZ Que +N」を12月15日10時より発売した,無線通信はIEEE802.11a/b/g/n準拠の無線LAN規格、Bluetooth 4.0をサポート|また通信サービスとして、「OCN モバイル ONE」を同梱する,,,価格は税別|本体価格は、端末とＳＩＭカードがセットで届いてすぐ使える「らくらくセット」の一括払いの場合が3，001円、通常セットの場合が月額11，800円|月額利用料金は、データ専用SIMの場合が月額900円～、音声対応SIMの場合が月額1600円～（パケット代900円＋音声通話基本料700円+IP電話アプリ「050 plus」月額無料）となる|いずれも、ＳＩＭカード初期費用3，000円を含む,,,,,高性能ジャイロセンサーも搭載するほか、GPSは日本版GPS2010として知られる準天頂衛星（QZSS）「みちびき」にも対応|従来のGPS衛星では捕捉しにくかった、都会のビル や山間部においても、測位精度の向上が期待できるという
IIJ、熱を視覚化するサーマルカメラ搭載スマホ「CAT S60」など取扱開始,,,,インカメラには、2000万画素＋800万画素広角カメラを内蔵した|アウトカメラは1600万画素だ|インカメラは800万画素、アウトカメラは1300万画素＋500万画素,,仕様面では、「Snapdragon 430」や4GBメモリーを装備|仕様面では、「Snapdragon 430」や3GBメモリーを装備,,仕様面では、「Snapdragon 430」や4GBメモリーを装備|仕様面では、「Snapdragon 430」や3GBメモリーを装備,ディスプレイは4.7型HD液晶（1280×720ドット）を装備|ディスプレイに5.5型HD液晶（1280×720ドット）を装備したモデル|ディスプレイに5.5型HD液晶（1280×720ドット）を装備したモデル,,,12月15日10時より提供開始する,ボディカラーはブラック|ボディカラーは、ネイビーブラック、サンライトゴールド、ローズピンク|ボディカラーは、ネイビーブラック、サンライトゴールド、ローズピンク,ＩＰ68相当の防水・防塵性能とＭＩＬ規格810Ｇ準拠の耐衝撃性能を備えた,インターネットイニシアティブは、「IIJmioサプライサービス」のラインアップとして、「CAT S60」「ZenFone 4 Selfie」「ZenFone 4 Max」の3機種を追加すると発表した,,,熱を視覚化できるサーマルイメージングカメラを搭載したモデル,価格は税別|価格は、一括の場合が79，800円、24回払いの場合が月額3，350円|価格は、一括の場合が26，800円、24回払いの場合が月額1，200円|価格は、一括の場合が23，800円、24回払いの場合が月額1，000円,,,ＧｏｒｉｌｌａＧｌａｓｓ4採用のタッチスクリーンは、濡れた指やグローブでも操作できる,,
