,文化財指定,時代・所在,日本100名城,さくら名所,藩庁,歴史,別名,城の構造,天守
白河小峰城,国の史跡に指定されている,白河小峰城は、福島県白河市にあった日本の城,ほか、日本100名城のひとつに数えられる,,,,単に白河城または小峰城ともいう,,
松坂城,城跡は松坂城跡として国の史跡に指定されている,"松坂城は、日本の城
所在地は三重県松阪市殿町 ",,,,,現在は松阪城とも表記される,,
松山城 (備中国),"「備中松山城跡」として国の史跡に指定されている
城跡が国の史跡、江戸時代に建造された天守や二重櫓などが重要文化財に指定されている","松山城は岡山県高梁市内山下にあった日本の城である
標高430メートルの臥牛山山頂にあり、現存天守を持つ山城としては最も高い所にある",日本100名城,,,,"別名、高梁城
四国の愛媛県松山市にあった松山城を初め、各地の松山城との混同を避けるために、一般的には「備中松山城」と呼ぶ",,
高取城,国の史跡に指定されている,高取城は、奈良県高市郡高取町高取にあった日本の城である,,,江戸時代は高取藩の藩庁であった,,別名、高取山城,,
赤穂城,国の史跡に指定され、本丸庭園と二の丸庭園は名勝に指定されている,赤穂城は、兵庫県赤穂市にある日本の城,,,江戸時代は赤穂藩主の居城,,別名・加里屋城、大鷹城,,
岐阜城,"城跡は岐阜城跡として金華山と、その山塊の2，091，602．74平方メートルが国の史跡に指定されている
その範囲は、現在の国有林の範囲に符合する ",岐阜城は、岐阜県岐阜市の金華山にあった日本の城,,,,織田信長が、斎藤龍興から奪取した稲葉山城の縄張りを破却して、新たに造営したものが岐阜城である,,,
月山富田城,城郭跡は国の史跡に指定されている,"月山富田城は、島根県安来市広瀬町富田に所在した日本の城
月山に営まれる ",,,,戦国時代に山陰の覇者尼子氏が本拠を構え、170年間の尼子氏六代の盛衰の舞台となった,,,
川越城,,川越城は、埼玉県川越市にあった日本の城,関東七名城・日本100名城,,江戸時代には川越藩の藩庁が置かれた,,"別名、初雁城、霧隠城
通常、川越城の名称を表記する場合、中世については河越城、近世以降は川越城と表記されることが多い",,
佐賀城,,佐賀城は、佐賀県佐賀市にあった日本の城,,,江戸時代初頭に完成し、外様大名の佐賀藩鍋島氏の居城であった,,"古名は佐嘉城
別名、沈み城、亀甲城",,
丸岡城,,丸岡城は、福井県坂井市丸岡町霞にあった日本の城である,,,江戸時代には丸岡藩の藩庁であった,,別名霞ヶ城,,現在は天守のみ残る
